raw_name,raw_prefix,model,category,provider,prompt_type,temperature,fine_tuned,distribution,size,vectorizer,f1_macro,precision,recall,accuracy,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
42B-300d_real_2000__RandomForest_pred,,RandomForest,ML,,,,,real,2000.0,42B-300d,0.8338493292053664,0.7608286252354048,0.9223744292237442,0.839,,,
42B-300d_real_2000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,2000.0,42B-300d,0.8458244111349036,0.7963709677419355,0.9018264840182648,0.856,,,
42B-300d_real_2000__KNeighbors_pred,,KNeighbors,ML,,,,,real,2000.0,42B-300d,0.8024439918533605,0.7242647058823529,0.8995433789954338,0.806,,,
42B-300d_real_2000__SVM_pred,,SVM,ML,,,,,real,2000.0,42B-300d,0.8486772486772487,0.7909270216962525,0.9155251141552512,0.857,,,
42B-300d_real_2000__XGBoost_pred,,XGBoost,ML,,,,,real,2000.0,42B-300d,0.8592750533049041,0.806,0.9200913242009132,0.868,,,
840B-300d_real_100__RandomForest_pred,,RandomForest,ML,,,,,real,100.0,840B-300d,0.7956777996070727,0.6982758620689655,0.9246575342465754,0.792,,,
840B-300d_real_100__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,100.0,840B-300d,0.8187372708757638,0.7389705882352942,0.9178082191780822,0.822,,,
840B-300d_real_100__KNeighbors_pred,,KNeighbors,ML,,,,,real,100.0,840B-300d,0.7839388145315488,0.6743421052631579,0.9360730593607306,0.774,,,
840B-300d_real_100__SVM_pred,,SVM,ML,,,,,real,100.0,840B-300d,0.8012170385395537,0.7208029197080292,0.9018264840182648,0.804,,,
840B-300d_real_100__XGBoost_pred,,XGBoost,ML,,,,,real,100.0,840B-300d,0.8053007135575942,0.7274401473296501,0.9018264840182648,0.809,,,
840B-300d_real_250__RandomForest_pred,,RandomForest,ML,,,,,real,250.0,840B-300d,0.7121729237770194,0.7097505668934241,0.7146118721461188,0.747,,,
840B-300d_real_250__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,250.0,840B-300d,0.8307372793354102,0.7619047619047619,0.91324200913242,0.837,,,
840B-300d_real_250__KNeighbors_pred,,KNeighbors,ML,,,,,real,250.0,840B-300d,0.7972166998011928,0.7059859154929577,0.9155251141552512,0.796,,,
840B-300d_real_250__SVM_pred,,SVM,ML,,,,,real,250.0,840B-300d,0.8054679284963197,0.746588693957115,0.8744292237442922,0.815,,,
840B-300d_real_250__XGBoost_pred,,XGBoost,ML,,,,,real,250.0,840B-300d,0.8299894403379092,0.7721021611001965,0.8972602739726028,0.839,,,
840B-300d_real_500__RandomForest_pred,,RandomForest,ML,,,,,real,500.0,840B-300d,0.7627118644067796,0.7114624505928854,0.821917808219178,0.776,,,
840B-300d_real_500__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,500.0,840B-300d,0.8404588112617309,0.7735124760076776,0.9200913242009132,0.847,,,
840B-300d_real_500__KNeighbors_pred,,KNeighbors,ML,,,,,real,500.0,840B-300d,0.7909371781668383,0.7204502814258912,0.8767123287671232,0.797,,,
